0.015016	0.049020	0.098039	0.020833	0.020833
0.197091	0.049020	0.098039	0.041667	0.041667
0.056781	0.053922	0.107843	0.041667	0.041667
0.024871	0.053922	0.107843	0.083333	0.083333
0.015016	0.058824	0.117647	0.031250	0.031250
0.126232	0.058824	0.117647	0.041667	0.041667
0.009385	0.063725	0.127451	0.083333	0.083333
0.023932	0.073529	0.147059	0.041667	0.041667
0.056312	0.039216	0.156863	0.041667	0.041667
0.026279	0.053922	0.215686	0.083333	0.083333
0.037541	0.055392	0.221569	0.166667	0.166667
0.030033	0.057108	0.228431	0.083333	0.083333
0.015016	0.057108	0.228431	0.166667	0.166667
0.067574	0.062010	0.248039	0.333333	0.333333
0.079305	0.063725	0.254902	0.083333	0.083333
0.021117	0.055392	0.443137	0.666667	0.666667
0.039418	0.055637	0.445098	0.500000	0.500000
0.003754	0.058824	0.470588	0.166667	0.166667
0.009385	0.058824	0.470588	0.333333	0.333333
0.015955	0.061275	0.490196	0.166667	0.166667
0.043172	0.061275	0.490196	0.333333	0.333333
0.030033	0.061275	0.490196	0.666667	0.666667
0.004693	0.063725	0.509804	0.666667	0.666667
0.021586	0.069363	0.554902	0.166667	0.166667
0.011732	0.071814	0.574510	0.500000	0.500000
0.018771	0.041667	1.000000	1.000000	1.000000
